Date : 2022-12-05 22:48:54
Directory : c:\xampp\htdocs\B6Cinemas
Total : 140 files,  9942 codes, 3677 comments, 1609 blanks, all 15228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-da.php      | PHP        |         26 |          7 |          3 |         36 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-de.php      | PHP        |         22 |          4 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-el.php      | PHP        |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-eo.php      | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-es.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-et.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fa.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fi.php      | PHP        |         14 |         12 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fo.php      | PHP        |         13 |         12 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fr.php      | PHP        |         28 |          8 |          3 |         39 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-gl.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-he.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hi.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hr.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hu.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hy.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-id.php      | PHP        |         22 |          7 |          3 |         32 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-it.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ja.php      | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ka.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ko.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-lt.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-lv.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-mg.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-mn.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ms.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-nb.php      | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-nl.php      | PHP        |         27 |          5 |          3 |         35 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pl.php      | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pt.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php   | PHP        |         27 |          9 |          3 |         39 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ro.php      | PHP        |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ru.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sk.php      | PHP        |         22 |          6 |          3 |         31 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sl.php      | PHP        |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sr.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sv.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-tl.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-tr.php      | PHP        |         20 |          9 |          3 |         32 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-uk.php      | PHP        |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-vi.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-zh.php      | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php   | PHP        |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\Exception.php                   | PHP        |          9 |         28 |          4 |         41 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\OAuth.php                       | PHP        |         46 |         79 |         15 |        140 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\OAuthTokenProvider.php          | PHP        |          6 |         35 |          4 |         45 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\PHPMailer.php                   | PHP        |      2,839 |      1,870 |        380 |      5,089 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\POP3.php                        | PHP        |        178 |        233 |         52 |        463 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\SMTP.php                        | PHP        |        719 |        599 |        141 |      1,459 |
| Total                                                                             |            |      9,942 |      3,677 |      1,609 |     15,228 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
