"filename", "language", "Markdown", "PHP", "JSON", "CSS", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 5, 3, 35
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 9, 3, 39
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 6, 3, 31
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 9, 3, 32
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-uk.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-vi.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-zh.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\Exception.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 28, 4, 41
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\OAuth.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 79, 15, 140
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\OAuthTokenProvider.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 35, 4, 45
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\PHPMailer.php", "PHP", 0, 2839, 0, 0, 0, 0, 0, 1870, 380, 5089
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\POP3.php", "PHP", 0, 178, 0, 0, 0, 0, 0, 233, 52, 463
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\src\SMTP.php", "PHP", 0, 719, 0, 0, 0, 0, 0, 599, 141, 1459
"Total", "-", 186, 7707, 265, 968, 567, 30, 219, 3677, 1609, 15228
